"id","text","createdAt"
1,"Codecademy charge for a spiritual retreat from BetKing","2025-07-08 21:12:26.569154"
2,"Udemy payment offering at an online store with a levy through Bet9ja","2025-07-08 21:12:26.569163"
3,"Khan Academy charge for a prayer session from SportyBet","2025-07-08 21:12:26.569165"
4,"LinkedIn Learning payment offering at a supermarket with a levy via BetKing","2025-07-08 21:12:26.569166"
5,"Pluralsight charge for meditation from 1xBet","2025-07-08 21:12:26.569168"
6,"Udacity payment Communion at a retail store with a levy through MerryBet","2025-07-08 21:12:26.569169"
7,"Skillshare charge for a bible study from SportyBet","2025-07-08 21:12:26.569170"
8,"FutureLearn payment blessing at a mall with a levy via Bet9ja","2025-07-08 21:12:26.569171"
9,"Codecademy charge for a sermon from BetKing","2025-07-08 21:12:26.569172"
10,"DataCamp payment offering at a shop with a levy through 1xBet","2025-07-08 21:12:26.569174"
11,"MasterClass charge for evangelism from SportyBet","2025-07-08 21:12:26.569175"
12,"Harvard Online payment tithe at a market with a levy via MerryBet","2025-07-08 21:12:26.569176"
13,"MIT OpenCourseWare charge for confession from Bet9ja","2025-07-08 21:12:26.569177"
14,"Stanford Online payment baptism at an online store with a levy through BetKing","2025-07-08 21:12:26.569178"
15,"OpenLearn charge for communion from 1xBet","2025-07-08 21:12:26.569179"
16,"Alison payment offering at a supermarket with a levy via SportyBet","2025-07-08 21:12:26.569181"
17,"Simplilearn charge for tithing from Bet9ja","2025-07-08 21:12:26.569182"
18,"Treehouse payment communion at a retail store with a levy through MerryBet","2025-07-08 21:12:26.569183"
19,"Brilliant charge for a pilgrimage from BetKing","2025-07-08 21:12:26.569184"
20,"Duolingo payment offering at a mall with a levy via 1xBet","2025-07-08 21:12:26.569185"
21,"Rosetta Stone charge for a sermon from SportyBet","2025-07-08 21:12:26.569187"
22,"Memrise payment tithe at a shop with a levy through Bet9ja","2025-07-08 21:12:26.569188"
23,"Babbel charge for almsgiving from MerryBet","2025-07-08 21:12:26.569189"
24,"The Odin Project payment Communion at a market with a levy via BetKing","2025-07-08 21:12:26.569190"
25,"CS50 charge for a sarmon from 1xBet","2025-07-08 21:12:26.569191"
26,"Google Digital Garage payment offering at an online store with a levy through SportyBet","2025-07-08 21:12:26.569193"
27,"IBM SkillsBuild charge for confession from Bet9ja","2025-07-08 21:12:26.569194"
28,"AWS Training payment tithe at a supermarket with a levy via MerryBet","2025-07-08 21:12:26.569195"
29,"Microsoft Learn charge for worship from BetKing","2025-07-08 21:12:26.569196"
30,"book payment offering at a retail store with a levy through 1xBet","2025-07-08 21:12:26.569197"
31,"Coursera charge for a spiritual retreat from SportyBet","2025-07-08 21:12:26.569198"
32,"Udemy payment offering at a mall with a levy via Bet9ja","2025-07-08 21:12:26.569200"
33,"Khan Academy charge for meditation from MerryBet","2025-07-08 21:12:26.569201"
34,"LinkedIn Learning payment tithe at a shop with a levy through BetKing","2025-07-08 21:12:26.569202"
35,"Pluralsight charge for a bible study from 1xBet","2025-07-08 21:12:26.569203"
36,"Udacity payment Communion at a market with a levy via SportyBet","2025-07-08 21:12:26.569204"
37,"Skillshare charge for evangelism from Bet9ja","2025-07-08 21:12:26.569205"
38,"FutureLearn payment blessing at an online store with a levy through MerryBet","2025-07-08 21:12:26.569207"
39,"Codecademy charge for a sermon from BetKing","2025-07-08 21:12:26.569208"
40,"DataCamp payment offering at a supermarket with a levy via 1xBet","2025-07-08 21:12:26.569209"
41,"MasterClass charge for confession from SportyBet","2025-07-08 21:12:26.569210"
