"id","txnId","text","entities","analysisId","createdAt"
1,"28","crusader sterling pensions for supplementation and and ard chartered for broadbased communication ltd internet and naijavibes","[{""text"": ""crusader sterling pensions"", ""label"": ""pensions"", ""score"": 0.95}, {""text"": ""supplementation"", ""label"": ""healthActivity"", ""score"": 0.85}, {""text"": ""ard chartered"", ""label"": ""bankingOrganization"", ""score"": 0.88}, {""text"": ""broadbased communication ltd"", ""label"": ""internetAndTelecom"", ""score"": 0.9}, {""text"": ""naijavibes"", ""label"": ""subscriptions"", ""score"": 0.87}]","","2025-07-09 12:05:12.163046"
2,"29","transfer general electrical electro","[]","","2025-07-09 12:05:12.163049"
3,"30","bill gotv","[{""text"": ""gotv"", ""label"": ""cableTvOrStreaming"", ""score"": 0.92}]","","2025-07-09 12:05:12.163051"
4,"31","baxi bax trsf monnify fun","[]","","2025-07-09 12:05:12.163052"
5,"32","viewza lidya bnatural spa burcont shipping nigeria limited invest","[{""text"": ""viewza"", ""label"": ""cableTvOrStreaming"", ""score"": 0.9}, {""text"": ""lidya"", ""label"": ""loanRepayment"", ""score"": 0.85}, {""text"": ""bnatural spa"", ""label"": ""leisureLifestyleOrRecreation"", ""score"": 0.91}, {""text"": ""burcont shipping nigeria limited"", ""label"": ""transportHailing"", ""score"": 0.88}, {""text"": ""invest"", ""label"": ""savingsAndInvestments"", ""score"": 0.8}]","","2025-07-09 12:05:12.163053"
6,"33","audu mechizedek transfer audu mechizedek","[{""text"": ""audu mechizedek"", ""label"": ""person"", ""score"": 0.95}]","","2025-07-09 12:05:12.163054"
7,"34","google digital garage beauty levy xbet bank industry abuja","[{""text"": ""google digital garage"", ""label"": ""education"", ""score"": 0.93}, {""text"": ""beauty levy"", ""label"": ""leviesAndCharges"", ""score"": 0.85}, {""text"": ""xbet"", ""label"": ""bettingOrGambling"", ""score"": 0.9}, {""text"": ""bank"", ""label"": ""bankingOrganization"", ""score"": 0.8}, {""text"": ""abuja"", ""label"": ""person"", ""score"": 0.75}]","","2025-07-09 12:05:12.163055"
8,"0","sterling bank hongkong for tunetech","[{""text"": ""sterling bank"", ""label"": ""bankingOrganization"", ""score"": 0.95}, {""text"": ""tunetech"", ""label"": ""shopping"", ""score"": 0.85}]","","2025-07-09 12:05:12.163055"
9,"1","rasaq opeyemi qudus phone","[{""text"": ""rasaq opeyemi qudus"", ""label"": ""person"", ""score"": 0.97}, {""text"": ""phone"", ""label"": ""shopping"", ""score"": 0.88}]","","2025-07-09 12:05:12.163056"
10,"2","vudu streaming xcross cash johnny rockets meal uber nigeria ride and investnow deposit","[{""text"": ""vudu streaming"", ""label"": ""cableTvOrStreaming"", ""score"": 0.92}, {""text"": ""xcross cash"", ""label"": ""transportHailing"", ""score"": 0.85}, {""text"": ""johnny rockets"", ""label"": ""leisureLifestyleOrRecreation"", ""score"": 0.9}, {""text"": ""uber nigeria"", ""label"": ""transportHailing"", ""score"": 0.91}, {""text"": ""investnow"", ""label"": ""savingsAndInvestments"", ""score"": 0.87}]","","2025-07-09 12:05:12.163057"
