"id","txnId","text","entities","analysisId","createdAt"
1,"9710","trustfund pension plc funded medical center checkup via amazon music and paid with first bank","[{""text"": ""trustfund pension plc"", ""label"": ""pensions"", ""score"": 0.96}, {""text"": ""medical center"", ""label"": ""healthActivity"", ""score"": 0.92}, {""text"": ""amazon music"", ""label"": ""subscriptions"", ""score"": 0.95}, {""text"": ""first bank"", ""label"": ""bankingOrganization"", ""score"": 0.9}]","","2025-07-09 18:00:45.036934"
2,"9711","first bank mri for stanbic ibtc pension managers through smile communications and soundcloud","[{""text"": ""first bank"", ""label"": ""bankingOrganization"", ""score"": 0.9}, {""text"": ""mri"", ""label"": ""healthActivity"", ""score"": 0.88}, {""text"": ""stanbic ibtc pension managers"", ""label"": ""pensions"", ""score"": 0.95}, {""text"": ""smile communications"", ""label"": ""internetAndTelecom"", ""score"": 0.87}, {""text"": ""soundcloud"", ""label"": ""subscriptions"", ""score"": 0.93}]","","2025-07-09 18:00:45.036941"
3,"9680","Accion payment Lyft bloodwork clinic Lyft covid browsing soundcity radio with internet Lyft premium pension limited","[{""text"": ""Accion"", ""label"": ""bankingOrganization"", ""score"": 0.95}, {""text"": ""Lyft"", ""label"": ""transportHailing"", ""score"": 0.92}, {""text"": ""bloodwork"", ""label"": ""healthActivity"", ""score"": 0.88}, {""text"": ""clinic"", ""label"": ""healthActivity"", ""score"": 0.87}, {""text"": ""premium pension limited"", ""label"": ""pensions"", ""score"": 0.9}]","","2025-07-09 18:00:45.036943"
4,"9681","irokotv interes cilantro restaurant and lounge gokada leo targeted saving","[{""text"": ""irokotv"", ""label"": ""cableTvOrStreaming"", ""score"": 0.93}, {""text"": ""cilantro restaurant and lounge"", ""label"": ""leisureLifestyleOrRecreation"", ""score"": 0.91}, {""text"": ""gokada"", ""label"": ""transportHailing"", ""score"": 0.89}, {""text"": ""leo targeted saving"", ""label"": ""savingsAndInvestments"", ""score"": 0.85}]","","2025-07-09 18:00:45.036944"
5,"9682","aut ompy dcir pos tizeti network ltd","[{""text"": ""tizeti network ltd"", ""label"": ""internetAndTelecom"", ""score"": 0.9}]","","2025-07-09 18:00:45.036946"
6,"9683","Accion payment Lyft scan medical center browsing over ntel and pension Lyft npf pensions limited","[{""text"": ""Accion"", ""label"": ""bankingOrganization"", ""score"": 0.95}, {""text"": ""Lyft"", ""label"": ""transportHailing"", ""score"": 0.92}, {""text"": ""scan"", ""label"": ""healthActivity"", ""score"": 0.88}, {""text"": ""medical center"", ""label"": ""healthActivity"", ""score"": 0.87}, {""text"": ""npf pensions limited"", ""label"": ""pensions"", ""score"": 0.9}]","","2025-07-09 18:00:45.036947"
7,"9684","nupmco pensions limited iridology children hospital via union bank for cool link mdundo","[{""text"": ""nupmco pensions limited"", ""label"": ""pensions"", ""score"": 0.96}, {""text"": ""iridology"", ""label"": ""healthActivity"", ""score"": 0.85}, {""text"": ""children hospital"", ""label"": ""healthActivity"", ""score"": 0.9}, {""text"": ""union bank"", ""label"": ""bankingOrganization"", ""score"": 0.92}, {""text"": ""cool link"", ""label"": ""internetAndTelecom"", ""score"": 0.88}]","","2025-07-09 18:00:45.036948"
8,"9685","trustfund pension plc for premium teaching hospital audiomack mobile bank","[{""text"": ""trustfund pension plc"", ""label"": ""pensions"", ""score"": 0.96}, {""text"": ""premium teaching hospital"", ""label"": ""healthActivity"", ""score"": 0.89}, {""text"": ""audiomack"", ""label"": ""subscriptions"", ""score"": 0.9}, {""text"": ""mobile bank"", ""label"": ""bankingOrganization"", ""score"": 0.85}]","","2025-07-09 18:00:45.036949"
9,"9686","retirement benefit for GoKada yellow fever children hospital processed Accion radical technology network ltd naijavibes","[{""text"": ""GoKada"", ""label"": ""transportHailing"", ""score"": 0.92}, {""text"": ""yellow fever"", ""label"": ""healthActivity"", ""score"": 0.88}, {""text"": ""children hospital"", ""label"": ""healthActivity"", ""score"": 0.9}, {""text"": ""Accion"", ""label"": ""bankingOrganization"", ""score"": 0.95}, {""text"": ""radical technology network ltd"", ""label"": ""internetAndTelecom"", ""score"": 0.87}]","","2025-07-09 18:00:45.036951"
10,"9687","etz anyaku cyril amara anyaku cyril amara mob","[{""text"": ""cyril amara"", ""label"": ""person"", ""score"": 0.9}]","","2025-07-09 18:00:45.036952"
11,"9688","kwese play migo omu resort and trustbanc asset via ride austin","[{""text"": ""kwese play"", ""label"": ""cableTvOrStreaming"", ""score"": 0.92}, {""text"": ""migo"", ""label"": ""loanRepayment"", ""score"": 0.85}, {""text"": ""omu resort"", ""label"": ""leisureLifestyleOrRecreation"", ""score"": 0.91}, {""text"": ""trustbanc asset"", ""label"": ""savingsAndInvestments"", ""score"": 0.88}, {""text"": ""ride austin"", ""label"": ""transportHailing"", ""score"": 0.89}]","","2025-07-09 18:00:45.036953"
12,"9689","crusader sterling pensions paid InDriver pills and purchase internet broadbased communication ltd via bank","[{""text"": ""crusader sterling pensions"", ""label"": ""pensions"", ""score"": 0.96}, {""text"": ""InDriver"", ""label"": ""transportHailing"", ""score"": 0.9}, {""text"": ""pills"", ""label"": ""healthActivity"", ""score"": 0.85}, {""text"": ""internet"", ""label"": ""internetAndTelecom"", ""score"": 0.88}, {""text"": ""broadbased communication ltd"", ""label"": ""internetAndTelecom"", ""score"": 0.87}]","","2025-07-09 18:00:45.036954"
13,"9670","zippy capital obudu mountain resort davina hill resort hotel stashbox","[{""text"": ""zippy capital"", ""label"": ""savingsAndInvestments"", ""score"": 0.92}, {""text"": ""obudu mountain resort"", ""label"": ""leisureLifestyleOrRecreation"", ""score"": 0.95}, {""text"": ""davina hill resort hotel"", ""label"": ""leisureLifestyleOrRecreation"", ""score"": 0.94}, {""text"": ""stashbox"", ""label"": ""savingsAndInvestments"", ""score"": 0.88}]","","2025-07-09 18:00:45.036955"
14,"9671","leadway pensure pfa limited post surgical rehabilitation children hospital via union bank Lyft broadbased communication ltd naijavibes","[{""text"": ""leadway pensure pfa limited"", ""label"": ""pensions"", ""score"": 0.96}, {""text"": ""post surgical rehabilitation"", ""label"": ""healthActivity"", ""score"": 0.89}, {""text"": ""children hospital"", ""label"": ""healthActivity"", ""score"": 0.91}, {""text"": ""union bank"", ""label"": ""bankingOrganization"", ""score"": 0.9}, {""text"": ""Lyft"", ""label"": ""transportHailing"", ""score"": 0.85}]","","2025-07-09 18:00:45.036956"
15,"9672","showmax nigeria payment via fairmoney food chicken cottage mvx oniru private beach nobleserve capital","[{""text"": ""showmax nigeria"", ""label"": ""cableTvOrStreaming"", ""score"": 0.93}, {""text"": ""payment"", ""label"": ""shopping"", ""score"": 0.87}, {""text"": ""fairmoney"", ""label"": ""loanRepayment"", ""score"": 0.88}, {""text"": ""chicken cottage"", ""label"": ""leisureLifestyleOrRecreation"", ""score"": 0.9}, {""text"": ""nobleserve capital"", ""label"": ""savingsAndInvestments"", ""score"": 0.86}]","","2025-07-09 18:00:45.036958"
16,"9673","pluralsight hajj charge betpawa bank industry jos","[{""text"": ""pluralsight"", ""label"": ""education"", ""score"": 0.91}, {""text"": ""hajj"", ""label"": ""religiousActivity"", ""score"": 0.95}, {""text"": ""charge"", ""label"": ""leviesAndCharges"", ""score"": 0.88}, {""text"": ""betpawa"", ""label"": ""bettingOrGambling"", ""score"": 0.89}, {""text"": ""bank industry"", ""label"": ""bankingOrganization"", ""score"": 0.84}]","","2025-07-09 18:00:45.036959"
17,"9674","edx payment betja Lyft groceries","[{""text"": ""edx"", ""label"": ""education"", ""score"": 0.92}, {""text"": ""payment"", ""label"": ""shopping"", ""score"": 0.87}, {""text"": ""betja"", ""label"": ""bettingOrGambling"", ""score"": 0.85}, {""text"": ""Lyft"", ""label"": ""transportHailing"", ""score"": 0.86}, {""text"": ""groceries"", ""label"": ""shopping"", ""score"": 0.88}]","","2025-07-09 18:00:45.036960"
18,"9675","january bonus SafeBoda","[{""text"": ""SafeBoda"", ""label"": ""transportHailing"", ""score"": 0.9}]","","2025-07-09 18:00:45.036961"
19,"9676","leadway pensure pfa limited paid Lyft healthcare plan covered capsules and bought internet cool link using Accion","[{""text"": ""leadway pensure pfa limited"", ""label"": ""pensions"", ""score"": 0.96}, {""text"": ""Lyft"", ""label"": ""transportHailing"", ""score"": 0.85}, {""text"": ""healthcare plan"", ""label"": ""healthActivity"", ""score"": 0.88}, {""text"": ""capsules"", ""label"": ""healthActivity"", ""score"": 0.87}, {""text"": ""internet"", ""label"": ""internetAndTelecom"", ""score"": 0.89}]","","2025-07-09 18:00:45.036962"
20,"9677","treehouse payment sportybet delivery","[{""text"": ""treehouse"", ""label"": ""education"", ""score"": 0.9}, {""text"": ""payment"", ""label"": ""shopping"", ""score"": 0.87}, {""text"": ""sportybet"", ""label"": ""bettingOrGambling"", ""score"": 0.88}, {""text"": ""delivery"", ""label"": ""shopping"", ""score"": 0.85}]","","2025-07-09 18:00:45.036963"
