# === Small ===
person: P=0.97, R=0.8, F1=0.88
leviesAndCharges: P=0.95, R=1.0, F1=0.98
bankOrFinancialOrganization: P=0.83, R=0.97, F1=0.89
savingsAndInvestments: P=0.67, R=0.98, F1=0.8
organizationOrEnterprise: P=0.82, R=0.23, F1=0.36
TopUpOrData: P=0.44, R=1.0, F1=0.62
pensions: P=0.0, R=0.0, F1=0
religiousActivity: P=0.75, R=0.6, F1=0.67
loanRepayment: P=0.11, R=0.5, F1=0.17
location: P=0.22, R=0.12, F1=0.16
bettingOrGambling: P=0.57, R=0.67, F1=0.62
healthActivity: P=0.18, R=0.4, F1=0.25


# === Medium ===
person: P=0.96, R=0.87, F1=0.91
leviesAndCharges: P=0.98, R=1.0, F1=0.99
bankOrFinancialOrganization: P=0.83, R=0.98, F1=0.9
savingsAndInvestments: P=0.62, R=0.98, F1=0.76
organizationOrEnterprise: P=0.76, R=0.59, F1=0.67
TopUpOrData: P=0.57, R=1.0, F1=0.73
pensions: P=0.0, R=0.0, F1=0
location: P=0.16, R=0.25, F1=0.2
religiousActivity: P=0.4, R=0.4, F1=0.4
loanRepayment: P=0.09, R=0.5, F1=0.15
cableTvOrStreaming: P=0.29, R=1.0, F1=0.44
bettingOrGambling: P=0.38, R=0.83, F1=0.53
healthActivity: P=0.27, R=0.6, F1=0.37


# === Large ===
person: P=0.93, R=0.91, F1=0.92
healthActivity: P=0.36, R=0.8, F1=0.5
religiousActivity: P=0.23, R=1.0, F1=0.37
leviesAndCharges: P=0.97, R=1.0, F1=0.98
bankOrFinancialOrganization: P=0.84, R=0.99, F1=0.91
savingsAndInvestments: P=0.62, R=1.0, F1=0.77
organizationOrEnterprise: P=0.74, R=0.74, F1=0.74
TopUpOrData: P=0.57, R=1.0, F1=0.73
loanRepayment: P=0.15, R=0.75, F1=0.25
pensions: P=0.0, R=0.0, F1=0
location: P=0.22, R=0.75, F1=0.34
bettingOrGambling: P=0.71, R=0.83, F1=0.77
cableTvOrStreaming: P=0.25, R=1.0, F1=0.4
